ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet
BP,GO:0046503,glycerolipid catabolic process,2/24,66/18986,0.030303030303030304,23.972222222222225,6.650943538194992,0.003126650597134471,0.03651895941925768,0.022570868206977228,APOC1/PLA2G4E,2,all_25
BP,GO:0031331,positive regulation of cellular catabolic process,3/24,235/18986,0.01276595744680851,10.098936170212765,4.993225538821131,0.003127005699508303,0.03651895941925768,0.022570868206977228,DHRSX/PFKFB1/TPCN1,3,all_25
BP,GO:0044242,cellular lipid catabolic process,3/24,238/18986,0.012605042016806723,9.971638655462185,4.955090947160362,0.003240774243563188,0.03718362026825131,0.02298166776598826,APOC1/GBA3/PLA2G4E,3,all_25
BP,GO:0046434,organophosphate catabolic process,3/24,242/18986,0.012396694214876033,9.806818181818182,4.905287042182161,0.003396397134357304,0.03829730561844271,0.02366999091820699,APOC1/PFKFB1/PLA2G4E,3,all_25
BP,GO:0006814,sodium ion transport,3/24,251/18986,0.01195219123505976,9.455179282868526,4.797353080282849,0.00376318690459346,0.041713970094985134,0.025781690836108633,GRIN1/SLC6A3/TPCN1,3,all_25
BP,GO:0046470,phosphatidylcholine metabolic process,2/24,77/18986,0.025974025974025976,20.547619047619047,6.114680913158121,0.004229109943163085,0.04609729838047763,0.028490845932888153,APOC1/SLC44A1,2,all_25
BP,GO:1901568,fatty acid derivative metabolic process,2/24,79/18986,0.02531645569620253,20.02742616033755,6.029081148118081,0.004446292121327045,0.04767008274340799,0.029462919319923817,ALOX15/TECR,2,all_25
BP,GO:1902475,L-alpha-amino acid transmembrane transport,2/24,80/18986,0.025,19.777083333333334,5.98745346251486,0.004556792227625106,0.0480668083365616,0.029708119107097468,SLC1A1/SLC25A15,2,all_25
BP,GO:0051259,protein complex oligomerization,3/24,275/18986,0.01090909090909091,8.63,4.534310286814421,0.004857046257530727,0.05042076591150946,0.03116300355708938,GRIN1/RRM2/TRPM7,3,all_25
BP,GO:0010232,vascular transport,2/24,88/18986,0.022727272727272728,17.979166666666668,5.6796115747565645,0.005486199471372941,0.05519960698889082,0.03411660885841635,SLC1A1/SLC44A1,2,all_25
BP,GO:0150104,transport across blood-brain barrier,2/24,88/18986,0.022727272727272728,17.979166666666668,5.6796115747565645,0.005486199471372941,0.05519960698889082,0.03411660885841635,SLC1A1/SLC44A1,2,all_25
